order_id,product_id,unit_price_x,quantity,discount,product_name_x,supplier_id,category_id,quantity_per_unit,unit_price_y,units_in_stock_x,units_on_order,reorder_level,discontinued,company_name,contact_name,contact_title,address,city,region,postal_code,country,phone,fax,homepage,category_name,description,picture,total_sales,product_name_y,units_in_stock_y
10376,31,10.0,42,0.05,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,0,70,20,0,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,"Viale Dante, 75",Ravenna,0,48100,Italy,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#,Dairy Products,Cheeses,<memory at 0x00000263FF19B400>,399.0,Gorgonzola Telino,0
10294,17,31.2,15,0.0,Alice Mutton,7,6,20 - 1 kg tins,39.0,0,0,0,1,"Pavlova, Ltd.",Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,0,Meat/Poultry,Prepared meats,<memory at 0x00000263FF19B580>,468.0,Alice Mutton,0
10705,31,12.5,20,0.0,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,0,70,20,0,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,"Viale Dante, 75",Ravenna,0,48100,Italy,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#,Dairy Products,Cheeses,<memory at 0x00000263FF19B400>,250.0,Gorgonzola Telino,0
10479,53,26.2,28,0.0,Perth Pasties,24,6,48 pieces,32.8,0,0,0,1,"G'day, Mate",Wendy Mackenzie,Sales Representative,170 Prince Edward Parade Hunter's Hill,Sydney,NSW,2042,Australia,(02) 555-5914,(02) 555-4873,G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#,Meat/Poultry,Prepared meats,<memory at 0x00000263FF19B580>,733.6,Perth Pasties,0
10624,29,123.79,6,0.0,Thüringer Rostbratwurst,12,6,50 bags x 30 sausgs.,123.79,0,0,0,1,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,0,60439,Germany,(069) 992755,0,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,Meat/Poultry,Prepared meats,<memory at 0x00000263FF19B580>,742.74,Thüringer Rostbratwurst,0
10772,29,123.79,18,0.0,Thüringer Rostbratwurst,12,6,50 bags x 30 sausgs.,123.79,0,0,0,1,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,0,60439,Germany,(069) 992755,0,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,Meat/Poultry,Prepared meats,<memory at 0x00000263FF19B580>,2228.2200000000003,Thüringer Rostbratwurst,0
10941,31,12.5,44,0.25,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,0,70,20,0,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,"Viale Dante, 75",Ravenna,0,48100,Italy,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#,Dairy Products,Cheeses,<memory at 0x00000263FF19B400>,412.5,Gorgonzola Telino,0
10363,31,10.0,20,0.0,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,0,70,20,0,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,"Viale Dante, 75",Ravenna,0,48100,Italy,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#,Dairy Products,Cheeses,<memory at 0x00000263FF19B400>,200.0,Gorgonzola Telino,0
10650,53,32.8,25,0.05,Perth Pasties,24,6,48 pieces,32.8,0,0,0,1,"G'day, Mate",Wendy Mackenzie,Sales Representative,170 Prince Edward Parade Hunter's Hill,Sydney,NSW,2042,Australia,(02) 555-5914,(02) 555-4873,G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#,Meat/Poultry,Prepared meats,<memory at 0x00000263FF19B580>,778.9999999999999,Perth Pasties,0
10787,29,123.79,20,0.05,Thüringer Rostbratwurst,12,6,50 bags x 30 sausgs.,123.79,0,0,0,1,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,0,60439,Germany,(069) 992755,0,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,Meat/Poultry,Prepared meats,<memory at 0x00000263FF19B580>,2352.01,Thüringer Rostbratwurst,0
